unit,icha11_hc,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
EUR_HAB,HC1,AT	2368.83 	2287.94 	2220.20 	2150.94 	2114.23 	2063.98 	2047.37 	1965.68 	1929.45 	1885.14 	1831.31 	1758.98 	1673.65 	1617.60 	1547.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,BA	251.53 	230.74 	222.34 	203.39 	189.85 	185.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,BE	1710.04 	1712.51 	1663.83 	1716.57 	1680.06 	1636.66 	1612.84 	1559.89 	1485.21 	1441.85 	1374.74 	1307.42 	1242.94 	1220.89 	1188.51 	1081.35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,BG	303.36 	274.54 	255.45 	239.08 	239.61 	214.11 	214.79 	191.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,CH	4105.15 	4223.87 	4247.68 	4210.42 	3601.54 	3471.84 	3435.17 	3237.29 	2860.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,CY	903.55 	861.20 	822.69 	797.50 	816.59 	838.03 	855.93 	879.61 	892.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,CZ	750.12 	632.97 	578.36 	569.46 	564.37 	597.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,DE	2151.35 	2088.67 	2040.25 	1980.83 	1929.17 	1866.18 	1802.48 	1766.52 	1683.05 	1615.86 	1528.65 	1469.03 	1430.89 	1386.93 	1381.13 	1350.19 	1320.62 	1281.08 	1256.17 	1224.30 	1202.78 	1200.51 	1205.88 	1198.00 	1126.09 	1039.73 	974.14 
EUR_HAB,HC1,DK	2861.94 	2812.22 	2753.59 	2694.39 	2640.22 	2594.77 	2601.21 	2508.15 	2473.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,EE	704.60 	642.74 	592.06 	562.11 	522.21 	477.70 	434.62 	402.06 	386.50 	389.24 	406.28 	350.88 	270.29 	234.29 	194.93 b	166.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,EL	813.17 	807.71 	809.14 	782.97 	781.16 	849.19 	934.99 	992.40 	1195.95 	1265.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,ES	1330.82 	1280.80 	1226.56 	1219.21 	1155.64 	1131.17 	1166.94 	1194.83 	1188.49 	1197.96 	1171.89 	1077.30 	1017.72 	943.59 	882.88 	826.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,FI	2182.30 	2124.03 	2086.90 	2111.27 b	2028.02 	2008.64 	1911.16 	1816.00 	1712.46 	1640.42 	1593.90 	1481.61 	1425.19 	1349.92 	1268.06 	1200.97 	1131.80 	1050.47 	964.47 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,FR	1703.74 	1675.89 	1650.42 	1619.77 	1605.42 	1575.00 	1544.75 	1509.39 	1472.30 	1445.47 	1409.95 	1373.70 	1341.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,HR	455.32 	421.51 	396.48 	382.71 	361.62 	335.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,HU	464.65 	436.43 	404.20 	387.58 	372.44 	366.60 	354.39 	344.79 	337.59 	303.65 	345.69 	340.30 	330.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,IS	2846.16 	2794.38 	2399.07 	2027.58 	1779.93 	1571.69 	1488.68 	1420.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,LI	4637.92 	4634.92 	4733.11 	4683.46 	4221.36 	4164.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,LT	556.04 	486.13 	454.22 	411.11 	371.70 	361.66 	336.09 	332.73 	300.80 	303.67 	314.53 	249.37 	209.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,LU	2809.68 	2637.20 	2582.70 	2542.69 	2545.04 	2486.33 	2458.74 b	2560.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,LV	458.38 	387.21 	370.62 	331.06 	310.24 	289.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,MT	1083.47 	1064.76 	977.13 	930.24 	804.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,NL	2126.27 	2063.07 	2025.21 	1966.92 	1896.94 	1873.41 	1822.97 	1782.50 	1777.15 	1703.30 	1620.43 	1480.86 	1392.16 	1320.21 	1275.99 	1201.03 	1120.15 	999.60 	895.58 	850.23 	806.87 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,NO	3251.32 	3258.75 	3230.17 	3273.86 	3258.08 	3275.01 	3273.28 	3053.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,PL	476.38 	469.84 	419.10 	414.78 	382.55 	371.41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,PT	1137.97 	1068.14 	1017.82 b	958.97 	930.65 	916.99 	913.04 	946.38 	989.62 	959.67 	906.80 	862.19 	826.27 	817.31 	766.68 	706.67 	655.68 	613.59 	584.91 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,RO	320.50 	254.32 	204.24 	183.91 	171.99 	161.63 	141.75 	132.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,SI	1031.26 	948.37 	929.47 	888.92 	845.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC1,SK	566.41 	523.94 	514.11 	496.95 	468.98 b	500.25 	483.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC11,AT	1261.72 	1224.77 	1196.95 	1168.77 	1152.63 	1131.91 	1144.03 	1098.56 	1084.49 	1058.62 	1037.12 	978.69 	938.22 	900.38 	860.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC11,BA	137.68 	124.80 	118.98 	110.84 	102.22 	98.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC11,BE	945.21 	949.32 	936.64 	987.33 	945.66 	936.87 	921.22 	889.46 	841.19 	821.40 	795.31 	737.81 	706.05 	626.32 	621.22 	573.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC11,BG	203.84 	168.57 	160.28 	145.21 	149.20 	137.54 	137.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC11,CH	1897.08 	1977.34 	2008.97 	2001.05 	1723.31 	1695.76 	1679.27 	1585.59 	1396.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC11,CY	438.97 	412.84 	389.82 	379.67 	384.57 	406.06 	418.41 	439.77 	440.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC11,CZ	332.75 	290.30 	259.82 	257.77 	261.24 	283.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HC11,DE	1101.21 	1071.02 	1049.70 	1018.43 	992.08 	956.22 	923.43 	903.27 	859.35 	818.98 	767.88 	741.12 	732.11 	711.08 	693.84 	679.19 	673.48 	656.07 	649.87 	638.91 	630.59 	615.12 	614.13 	621.80 	584.68 	540.10 	488.16 
