unit,icha11_hf,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
EUR_HAB,HF1,AT	3362.31 	3224.59 	3134.01 	3058.43 	2991.21 	2907.65 	2879.06 	2764.72 	2699.38 	2651.28 	2573.57 	2426.60 	2296.87 	2199.16 	2112.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,BA	305.36 	288.14 	285.22 	263.53 	244.53 	237.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,BE	3145.86 	3098.71 	2970.71 	2920.21 	2847.04 	2826.24 	2793.63 	2691.11 	2594.87 	2529.05 	2389.75 	2193.04 	2100.27 	2042.66 	1993.78 	1842.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,BG	346.53 	308.20 	282.44 	264.76 	267.60 	234.79 	222.41 	217.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,CH	5361.77 	5583.37 	5554.71 	5570.05 	4746.30 	4647.48 	4566.05 	4268.86 	3723.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,CY	707.09 	649.64 	622.31 	605.92 	611.86 	668.30 	683.54 	718.06 	703.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,CZ	1239.78 	1074.29 	978.31 	953.06 	941.88 	979.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,DE	3912.90 	3774.18 	3604.27 	3485.65 	3353.14 	3212.33 	3071.95 	3005.15 	2896.75 	2796.54 	2386.04 	2288.06 	2208.59 	2155.59 	2101.83 	2149.44 	2106.23 	2042.81 	1981.10 	1935.44 	1873.02 	1839.45 	1907.98 	1850.63 	1672.77 	1547.05 	1463.07 
EUR_HAB,HF1,DK	4408.56 	4313.83 	4217.90 	4135.77 	4032.72 	3948.70 	3915.79 	3777.54 	3799.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,EA18	2751.28 	2670.43 	2590.90 	2482.46 	2419.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,EA19	2734.55 	2653.57 	2574.11 	2465.99 	2402.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,EE	966.67 	878.50 	810.82 	758.18 	706.45 	652.68 	605.69 	560.68 	534.33 	540.06 	547.01 	462.79 	363.24 	316.53 	275.13 b	237.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,EL	780.08 	806.94 	817.17 	756.20 	742.56 	845.64 	1006.18 	1105.85 	1332.62 	1374.43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,ES	1626.42 	1575.51 	1534.95 	1510.20 	1418.36 	1409.17 	1455.65 	1533.33 	1563.39 	1576.84 	1483.07 	1361.49 	1276.29 	1175.34 	1094.26 	1022.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,EU27_2007	2446.76 	2371.72 	2324.81 	2279.97 	2182.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,EU27_2020	2372.99 	2297.51 	2221.66 	2130.09 	2073.22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,EU28	2432.94 	2357.95 	2310.97 	2266.05 	2169.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
